time,step,valid_time,temp_c
2025-08-05 00:00:00,0 days 00:00:00,2025-08-05 00:00:00,15.707245
2025-08-05 00:00:00,0 days 06:00:00,2025-08-05 06:00:00,13.322937
2025-08-05 00:00:00,0 days 12:00:00,2025-08-05 12:00:00,20.702057
2025-08-05 00:00:00,0 days 18:00:00,2025-08-05 18:00:00,21.106415
2025-08-05 00:00:00,1 days 00:00:00,2025-08-06 00:00:00,12.426727
2025-08-05 00:00:00,1 days 06:00:00,2025-08-06 06:00:00,11.554596
2025-08-05 00:00:00,1 days 12:00:00,2025-08-06 12:00:00,22.973541
2025-08-05 00:00:00,1 days 18:00:00,2025-08-06 18:00:00,21.958466
2025-08-05 00:00:00,2 days 00:00:00,2025-08-07 00:00:00,15.436798
2025-08-05 00:00:00,2 days 06:00:00,2025-08-07 06:00:00,14.795258
2025-08-05 00:00:00,2 days 12:00:00,2025-08-07 12:00:00,21.407501
2025-08-05 00:00:00,2 days 18:00:00,2025-08-07 18:00:00,21.458496
2025-08-05 00:00:00,3 days 00:00:00,2025-08-08 00:00:00,16.846252
2025-08-05 00:00:00,3 days 06:00:00,2025-08-08 06:00:00,14.960907
2025-08-05 00:00:00,3 days 12:00:00,2025-08-08 12:00:00,23.949188
2025-08-05 00:00:00,3 days 18:00:00,2025-08-08 18:00:00,24.243652
2025-08-05 00:00:00,4 days 00:00:00,2025-08-09 00:00:00,15.257111
2025-08-05 00:00:00,4 days 06:00:00,2025-08-09 06:00:00,13.425018
2025-08-05 00:00:00,4 days 12:00:00,2025-08-09 12:00:00,24.258423
2025-08-05 00:00:00,4 days 18:00:00,2025-08-09 18:00:00,25.624939
2025-08-05 00:00:00,5 days 00:00:00,2025-08-10 00:00:00,14.917877
2025-08-05 00:00:00,5 days 06:00:00,2025-08-10 06:00:00,14.992737
2025-08-05 00:00:00,5 days 12:00:00,2025-08-10 12:00:00,27.890717
2025-08-05 00:00:00,5 days 18:00:00,2025-08-10 18:00:00,26.317871
2025-08-05 00:00:00,6 days 00:00:00,2025-08-11 00:00:00,16.80661
2025-08-05 00:00:00,6 days 06:00:00,2025-08-11 06:00:00,16.868591
2025-08-05 00:00:00,6 days 12:00:00,2025-08-11 12:00:00,31.539825
2025-08-05 00:00:00,6 days 18:00:00,2025-08-11 18:00:00,29.755463
2025-08-05 00:00:00,7 days 00:00:00,2025-08-12 00:00:00,20.95639
2025-08-05 00:00:00,7 days 06:00:00,2025-08-12 06:00:00,19.771729
2025-08-05 00:00:00,7 days 12:00:00,2025-08-12 12:00:00,27.68692
2025-08-05 00:00:00,7 days 18:00:00,2025-08-12 18:00:00,26.144012
2025-08-05 00:00:00,8 days 00:00:00,2025-08-13 00:00:00,17.818573
2025-08-05 00:00:00,8 days 06:00:00,2025-08-13 06:00:00,16.450775
2025-08-05 00:00:00,8 days 12:00:00,2025-08-13 12:00:00,25.709808
2025-08-05 00:00:00,8 days 18:00:00,2025-08-13 18:00:00,23.758545
2025-08-05 00:00:00,9 days 00:00:00,2025-08-14 00:00:00,17.63034
2025-08-05 00:00:00,9 days 06:00:00,2025-08-14 06:00:00,16.81601
2025-08-05 00:00:00,9 days 12:00:00,2025-08-14 12:00:00,25.034912
2025-08-05 00:00:00,9 days 18:00:00,2025-08-14 18:00:00,24.316925
2025-08-05 00:00:00,10 days 00:00:00,2025-08-15 00:00:00,18.881134
2025-08-05 00:00:00,10 days 06:00:00,2025-08-15 06:00:00,16.895355
2025-08-05 00:00:00,10 days 12:00:00,2025-08-15 12:00:00,23.56607
2025-08-05 00:00:00,10 days 18:00:00,2025-08-15 18:00:00,20.108063
2025-08-05 00:00:00,11 days 00:00:00,2025-08-16 00:00:00,16.739471
2025-08-05 00:00:00,11 days 06:00:00,2025-08-16 06:00:00,13.602753
2025-08-05 00:00:00,11 days 12:00:00,2025-08-16 12:00:00,21.384125
2025-08-05 00:00:00,11 days 18:00:00,2025-08-16 18:00:00,21.560455
2025-08-05 00:00:00,12 days 00:00:00,2025-08-17 00:00:00,13.152618
2025-08-05 00:00:00,12 days 06:00:00,2025-08-17 06:00:00,12.118134
2025-08-05 00:00:00,12 days 12:00:00,2025-08-17 12:00:00,22.360016
2025-08-05 00:00:00,12 days 18:00:00,2025-08-17 18:00:00,21.713715
2025-08-05 00:00:00,13 days 00:00:00,2025-08-18 00:00:00,18.125397
2025-08-05 00:00:00,13 days 06:00:00,2025-08-18 06:00:00,18.821655
2025-08-05 00:00:00,13 days 12:00:00,2025-08-18 12:00:00,24.609283
2025-08-05 00:00:00,13 days 18:00:00,2025-08-18 18:00:00,25.227875
2025-08-05 00:00:00,14 days 00:00:00,2025-08-19 00:00:00,19.462738
2025-08-05 00:00:00,14 days 06:00:00,2025-08-19 06:00:00,18.83255
2025-08-05 00:00:00,14 days 12:00:00,2025-08-19 12:00:00,26.240356
2025-08-05 00:00:00,14 days 18:00:00,2025-08-19 18:00:00,26.3497
2025-08-05 00:00:00,15 days 00:00:00,2025-08-20 00:00:00,18.969696
2025-08-05 06:00:00,0 days 00:00:00,2025-08-05 06:00:00,13.523102
2025-08-05 06:00:00,0 days 06:00:00,2025-08-05 12:00:00,20.65091
2025-08-05 06:00:00,0 days 12:00:00,2025-08-05 18:00:00,20.838715
2025-08-05 06:00:00,0 days 18:00:00,2025-08-06 00:00:00,12.162964
2025-08-05 06:00:00,1 days 00:00:00,2025-08-06 06:00:00,11.280243
2025-08-05 06:00:00,1 days 06:00:00,2025-08-06 12:00:00,22.760712
2025-08-05 06:00:00,1 days 12:00:00,2025-08-06 18:00:00,21.867645
2025-08-05 06:00:00,1 days 18:00:00,2025-08-07 00:00:00,15.211792
2025-08-05 06:00:00,2 days 00:00:00,2025-08-07 06:00:00,14.5937805
2025-08-05 06:00:00,2 days 06:00:00,2025-08-07 12:00:00,22.053497
2025-08-05 06:00:00,2 days 12:00:00,2025-08-07 18:00:00,21.552155
2025-08-05 06:00:00,2 days 18:00:00,2025-08-08 00:00:00,17.10147
2025-08-05 06:00:00,3 days 00:00:00,2025-08-08 06:00:00,15.217407
2025-08-05 06:00:00,3 days 06:00:00,2025-08-08 12:00:00,23.542267
2025-08-05 06:00:00,3 days 12:00:00,2025-08-08 18:00:00,24.074554
2025-08-05 06:00:00,3 days 18:00:00,2025-08-09 00:00:00,15.145111
2025-08-05 06:00:00,4 days 00:00:00,2025-08-09 06:00:00,13.192108
2025-08-05 06:00:00,4 days 06:00:00,2025-08-09 12:00:00,24.565887
2025-08-05 06:00:00,4 days 12:00:00,2025-08-09 18:00:00,25.503876
2025-08-05 06:00:00,4 days 18:00:00,2025-08-10 00:00:00,15.330109
2025-08-05 06:00:00,5 days 00:00:00,2025-08-10 06:00:00,14.957642
2025-08-05 06:00:00,5 days 06:00:00,2025-08-10 12:00:00,28.607971
2025-08-05 06:00:00,5 days 12:00:00,2025-08-10 18:00:00,27.15976
2025-08-05 06:00:00,5 days 18:00:00,2025-08-11 00:00:00,18.910248
2025-08-05 06:00:00,6 days 00:00:00,2025-08-11 06:00:00,19.325165
2025-08-05 06:00:00,6 days 06:00:00,2025-08-11 12:00:00,32.915985
2025-08-05 06:00:00,6 days 12:00:00,2025-08-11 18:00:00,30.699463
2025-08-05 06:00:00,6 days 18:00:00,2025-08-12 00:00:00,22.31253
2025-08-05 06:00:00,7 days 00:00:00,2025-08-12 06:00:00,20.585724
2025-08-05 06:00:00,7 days 06:00:00,2025-08-12 12:00:00,27.73462
2025-08-05 06:00:00,7 days 12:00:00,2025-08-12 18:00:00,27.158752
2025-08-05 06:00:00,7 days 18:00:00,2025-08-13 00:00:00,18.170624
2025-08-05 06:00:00,8 days 00:00:00,2025-08-13 06:00:00,16.541107
2025-08-05 06:00:00,8 days 06:00:00,2025-08-13 12:00:00,25.074554
2025-08-05 06:00:00,8 days 12:00:00,2025-08-13 18:00:00,23.178436
2025-08-05 06:00:00,8 days 18:00:00,2025-08-14 00:00:00,16.997345
2025-08-05 06:00:00,9 days 00:00:00,2025-08-14 06:00:00,17.167084
2025-08-05 06:00:00,9 days 06:00:00,2025-08-14 12:00:00,21.893097
2025-08-05 06:00:00,9 days 12:00:00,2025-08-14 18:00:00,22.647125
2025-08-05 06:00:00,9 days 18:00:00,2025-08-15 00:00:00,18.146362
2025-08-05 06:00:00,10 days 00:00:00,2025-08-15 06:00:00,17.779602
2025-08-05 06:00:00,10 days 06:00:00,2025-08-15 12:00:00,25.386383
2025-08-05 06:00:00,10 days 12:00:00,2025-08-15 18:00:00,22.545563
2025-08-05 06:00:00,10 days 18:00:00,2025-08-16 00:00:00,17.44165
2025-08-05 06:00:00,11 days 00:00:00,2025-08-16 06:00:00,14.407867
2025-08-05 06:00:00,11 days 06:00:00,2025-08-16 12:00:00,20.19632
2025-08-05 06:00:00,11 days 12:00:00,2025-08-16 18:00:00,19.436615
2025-08-05 06:00:00,11 days 18:00:00,2025-08-17 00:00:00,13.6649475
2025-08-05 06:00:00,12 days 00:00:00,2025-08-17 06:00:00,14.130188
2025-08-05 06:00:00,12 days 06:00:00,2025-08-17 12:00:00,17.472504
2025-08-05 06:00:00,12 days 12:00:00,2025-08-17 18:00:00,18.168152
2025-08-05 06:00:00,12 days 18:00:00,2025-08-18 00:00:00,12.912872
2025-08-05 06:00:00,13 days 00:00:00,2025-08-18 06:00:00,12.269806
2025-08-05 06:00:00,13 days 06:00:00,2025-08-18 12:00:00,19.748566
2025-08-05 06:00:00,13 days 12:00:00,2025-08-18 18:00:00,19.242157
2025-08-05 06:00:00,13 days 18:00:00,2025-08-19 00:00:00,18.58197
2025-08-05 06:00:00,14 days 00:00:00,2025-08-19 06:00:00,18.391266
2025-08-05 06:00:00,14 days 06:00:00,2025-08-19 12:00:00,22.116028
2025-08-05 06:00:00,14 days 12:00:00,2025-08-19 18:00:00,20.66684
2025-08-05 06:00:00,14 days 18:00:00,2025-08-20 00:00:00,16.591064
2025-08-05 06:00:00,15 days 00:00:00,2025-08-20 06:00:00,15.339813
2025-08-05 12:00:00,0 days 00:00:00,2025-08-05 12:00:00,19.618256
2025-08-05 12:00:00,0 days 06:00:00,2025-08-05 18:00:00,20.796356
2025-08-05 12:00:00,0 days 12:00:00,2025-08-06 00:00:00,12.137238
2025-08-05 12:00:00,0 days 18:00:00,2025-08-06 06:00:00,11.143097
2025-08-05 12:00:00,1 days 00:00:00,2025-08-06 12:00:00,22.547333
2025-08-05 12:00:00,1 days 06:00:00,2025-08-06 18:00:00,21.661774
2025-08-05 12:00:00,1 days 12:00:00,2025-08-07 00:00:00,15.2066345
2025-08-05 12:00:00,1 days 18:00:00,2025-08-07 06:00:00,14.679474
2025-08-05 12:00:00,2 days 00:00:00,2025-08-07 12:00:00,22.028992
2025-08-05 12:00:00,2 days 06:00:00,2025-08-07 18:00:00,21.33725
2025-08-05 12:00:00,2 days 12:00:00,2025-08-08 00:00:00,16.521515
2025-08-05 12:00:00,2 days 18:00:00,2025-08-08 06:00:00,14.650787
2025-08-05 12:00:00,3 days 00:00:00,2025-08-08 12:00:00,23.341827
2025-08-05 12:00:00,3 days 06:00:00,2025-08-08 18:00:00,23.642578
2025-08-05 12:00:00,3 days 12:00:00,2025-08-09 00:00:00,14.899506
2025-08-05 12:00:00,3 days 18:00:00,2025-08-09 06:00:00,13.323151
2025-08-05 12:00:00,4 days 00:00:00,2025-08-09 12:00:00,23.959686
2025-08-05 12:00:00,4 days 06:00:00,2025-08-09 18:00:00,24.99646
2025-08-05 12:00:00,4 days 12:00:00,2025-08-10 00:00:00,15.004852
2025-08-05 12:00:00,4 days 18:00:00,2025-08-10 06:00:00,14.618195
2025-08-05 12:00:00,5 days 00:00:00,2025-08-10 12:00:00,27.232147
2025-08-05 12:00:00,5 days 06:00:00,2025-08-10 18:00:00,25.556366
2025-08-05 12:00:00,5 days 12:00:00,2025-08-11 00:00:00,16.690582
2025-08-05 12:00:00,5 days 18:00:00,2025-08-11 06:00:00,16.8732
2025-08-05 12:00:00,6 days 00:00:00,2025-08-11 12:00:00,30.12976
2025-08-05 12:00:00,6 days 06:00:00,2025-08-11 18:00:00,28.387054
2025-08-05 12:00:00,6 days 12:00:00,2025-08-12 00:00:00,19.781311
2025-08-05 12:00:00,6 days 18:00:00,2025-08-12 06:00:00,20.39035
2025-08-05 12:00:00,7 days 00:00:00,2025-08-12 12:00:00,30.93274
2025-08-05 12:00:00,7 days 06:00:00,2025-08-12 18:00:00,27.256165
2025-08-05 12:00:00,7 days 12:00:00,2025-08-13 00:00:00,18.675262
2025-08-05 12:00:00,7 days 18:00:00,2025-08-13 06:00:00,17.599274
2025-08-05 12:00:00,8 days 00:00:00,2025-08-13 12:00:00,26.440033
2025-08-05 12:00:00,8 days 06:00:00,2025-08-13 18:00:00,25.122284
2025-08-05 12:00:00,8 days 12:00:00,2025-08-14 00:00:00,17.181183
2025-08-05 12:00:00,8 days 18:00:00,2025-08-14 06:00:00,16.42685
2025-08-05 12:00:00,9 days 00:00:00,2025-08-14 12:00:00,24.814178
2025-08-05 12:00:00,9 days 06:00:00,2025-08-14 18:00:00,23.507843
2025-08-05 12:00:00,9 days 12:00:00,2025-08-15 00:00:00,16.941315
2025-08-05 12:00:00,9 days 18:00:00,2025-08-15 06:00:00,15.904266
2025-08-05 12:00:00,10 days 00:00:00,2025-08-15 12:00:00,21.708984
2025-08-05 12:00:00,10 days 06:00:00,2025-08-15 18:00:00,19.03122
2025-08-05 12:00:00,10 days 12:00:00,2025-08-16 00:00:00,13.62207
2025-08-05 12:00:00,10 days 18:00:00,2025-08-16 06:00:00,11.273163
2025-08-05 12:00:00,11 days 00:00:00,2025-08-16 12:00:00,20.395233
2025-08-05 12:00:00,11 days 06:00:00,2025-08-16 18:00:00,18.053223
2025-08-05 12:00:00,11 days 12:00:00,2025-08-17 00:00:00,15.457336
2025-08-05 12:00:00,11 days 18:00:00,2025-08-17 06:00:00,13.652008
2025-08-05 12:00:00,12 days 00:00:00,2025-08-17 12:00:00,19.73227
2025-08-05 12:00:00,12 days 06:00:00,2025-08-17 18:00:00,18.893463
2025-08-05 12:00:00,12 days 12:00:00,2025-08-18 00:00:00,14.147614
2025-08-05 12:00:00,12 days 18:00:00,2025-08-18 06:00:00,13.443695
2025-08-05 12:00:00,13 days 00:00:00,2025-08-18 12:00:00,20.467133
2025-08-05 12:00:00,13 days 06:00:00,2025-08-18 18:00:00,20.157684
2025-08-05 12:00:00,13 days 12:00:00,2025-08-19 00:00:00,16.722809
2025-08-05 12:00:00,13 days 18:00:00,2025-08-19 06:00:00,17.990875
2025-08-05 12:00:00,14 days 00:00:00,2025-08-19 12:00:00,21.994781
2025-08-05 12:00:00,14 days 06:00:00,2025-08-19 18:00:00,21.625519
2025-08-05 12:00:00,14 days 12:00:00,2025-08-20 00:00:00,18.48404
2025-08-05 12:00:00,14 days 18:00:00,2025-08-20 06:00:00,17.609772
2025-08-05 12:00:00,15 days 00:00:00,2025-08-20 12:00:00,22.418304
2025-08-05 18:00:00,0 days 00:00:00,2025-08-05 18:00:00,20.439606
2025-08-05 18:00:00,0 days 06:00:00,2025-08-06 00:00:00,12.060699
2025-08-05 18:00:00,0 days 12:00:00,2025-08-06 06:00:00,10.947601
2025-08-05 18:00:00,0 days 18:00:00,2025-08-06 12:00:00,22.330475
2025-08-05 18:00:00,1 days 00:00:00,2025-08-06 18:00:00,21.632538
2025-08-05 18:00:00,1 days 06:00:00,2025-08-07 00:00:00,14.915344
2025-08-05 18:00:00,1 days 12:00:00,2025-08-07 06:00:00,14.524292
2025-08-05 18:00:00,1 days 18:00:00,2025-08-07 12:00:00,22.043427
2025-08-05 18:00:00,2 days 00:00:00,2025-08-07 18:00:00,21.585938
2025-08-05 18:00:00,2 days 06:00:00,2025-08-08 00:00:00,16.747498
2025-08-05 18:00:00,2 days 12:00:00,2025-08-08 06:00:00,14.796051
2025-08-05 18:00:00,2 days 18:00:00,2025-08-08 12:00:00,23.282715
2025-08-05 18:00:00,3 days 00:00:00,2025-08-08 18:00:00,23.730804
2025-08-05 18:00:00,3 days 06:00:00,2025-08-09 00:00:00,15.014435
2025-08-05 18:00:00,3 days 12:00:00,2025-08-09 06:00:00,13.339691
2025-08-05 18:00:00,3 days 18:00:00,2025-08-09 12:00:00,23.969818
2025-08-05 18:00:00,4 days 00:00:00,2025-08-09 18:00:00,25.049255
2025-08-05 18:00:00,4 days 06:00:00,2025-08-10 00:00:00,15.094391
2025-08-05 18:00:00,4 days 12:00:00,2025-08-10 06:00:00,14.417084
2025-08-05 18:00:00,4 days 18:00:00,2025-08-10 12:00:00,26.91632
2025-08-05 18:00:00,5 days 00:00:00,2025-08-10 18:00:00,25.917206
2025-08-05 18:00:00,5 days 06:00:00,2025-08-11 00:00:00,16.34555
2025-08-05 18:00:00,5 days 12:00:00,2025-08-11 06:00:00,16.51773
2025-08-05 18:00:00,5 days 18:00:00,2025-08-11 12:00:00,29.486725
2025-08-05 18:00:00,6 days 00:00:00,2025-08-11 18:00:00,27.458588
2025-08-05 18:00:00,6 days 06:00:00,2025-08-12 00:00:00,18.164948
2025-08-05 18:00:00,6 days 12:00:00,2025-08-12 06:00:00,18.25827
2025-08-05 18:00:00,6 days 18:00:00,2025-08-12 12:00:00,32.870605
2025-08-05 18:00:00,7 days 00:00:00,2025-08-12 18:00:00,30.741425
2025-08-05 18:00:00,7 days 06:00:00,2025-08-13 00:00:00,21.66742
2025-08-05 18:00:00,7 days 12:00:00,2025-08-13 06:00:00,18.850006
2025-08-05 18:00:00,7 days 18:00:00,2025-08-13 12:00:00,26.456665
2025-08-05 18:00:00,8 days 00:00:00,2025-08-13 18:00:00,24.767242
2025-08-05 18:00:00,8 days 06:00:00,2025-08-14 00:00:00,17.72821
2025-08-05 18:00:00,8 days 12:00:00,2025-08-14 06:00:00,16.547516
2025-08-05 18:00:00,8 days 18:00:00,2025-08-14 12:00:00,25.38916
2025-08-05 18:00:00,9 days 00:00:00,2025-08-14 18:00:00,25.48764
2025-08-05 18:00:00,9 days 06:00:00,2025-08-15 00:00:00,16.7547
2025-08-05 18:00:00,9 days 12:00:00,2025-08-15 06:00:00,15.244904
2025-08-05 18:00:00,9 days 18:00:00,2025-08-15 12:00:00,25.692596
2025-08-05 18:00:00,10 days 00:00:00,2025-08-15 18:00:00,22.491943
2025-08-05 18:00:00,10 days 06:00:00,2025-08-16 00:00:00,18.126587
2025-08-05 18:00:00,10 days 12:00:00,2025-08-16 06:00:00,15.213562
2025-08-05 18:00:00,10 days 18:00:00,2025-08-16 12:00:00,22.471893
2025-08-05 18:00:00,11 days 00:00:00,2025-08-16 18:00:00,21.619812
2025-08-05 18:00:00,11 days 06:00:00,2025-08-17 00:00:00,15.088226
2025-08-05 18:00:00,11 days 12:00:00,2025-08-17 06:00:00,15.371735
2025-08-05 18:00:00,11 days 18:00:00,2025-08-17 12:00:00,20.891876
2025-08-05 18:00:00,12 days 00:00:00,2025-08-17 18:00:00,19.966064
2025-08-05 18:00:00,12 days 06:00:00,2025-08-18 00:00:00,15.069458
2025-08-05 18:00:00,12 days 12:00:00,2025-08-18 06:00:00,13.011993
2025-08-05 18:00:00,12 days 18:00:00,2025-08-18 12:00:00,22.4505
2025-08-05 18:00:00,13 days 00:00:00,2025-08-18 18:00:00,22.282227
2025-08-05 18:00:00,13 days 06:00:00,2025-08-19 00:00:00,16.97583
2025-08-05 18:00:00,13 days 12:00:00,2025-08-19 06:00:00,17.253601
2025-08-05 18:00:00,13 days 18:00:00,2025-08-19 12:00:00,22.812408
2025-08-05 18:00:00,14 days 00:00:00,2025-08-19 18:00:00,24.27945
2025-08-05 18:00:00,14 days 06:00:00,2025-08-20 00:00:00,18.240753
2025-08-05 18:00:00,14 days 12:00:00,2025-08-20 06:00:00,17.805817
2025-08-05 18:00:00,14 days 18:00:00,2025-08-20 12:00:00,27.424957
2025-08-05 18:00:00,15 days 00:00:00,2025-08-20 18:00:00,27.588867
