time,step,valid_time,temp_c
2025-06-24 00:00:00,0 days 00:00:00,2025-06-24 00:00:00,14.727905
2025-06-24 00:00:00,0 days 06:00:00,2025-06-24 06:00:00,14.969757
2025-06-24 00:00:00,0 days 12:00:00,2025-06-24 12:00:00,22.006195
2025-06-24 00:00:00,0 days 18:00:00,2025-06-24 18:00:00,24.06955
2025-06-24 00:00:00,1 days 00:00:00,2025-06-25 00:00:00,17.484009
2025-06-24 00:00:00,1 days 06:00:00,2025-06-25 06:00:00,17.784943
2025-06-24 00:00:00,1 days 12:00:00,2025-06-25 12:00:00,25.47934
2025-06-24 00:00:00,1 days 18:00:00,2025-06-25 18:00:00,24.61377
2025-06-24 00:00:00,2 days 00:00:00,2025-06-26 00:00:00,18.719421
2025-06-24 00:00:00,2 days 06:00:00,2025-06-26 06:00:00,17.911652
2025-06-24 00:00:00,2 days 12:00:00,2025-06-26 12:00:00,22.690582
2025-06-24 00:00:00,2 days 18:00:00,2025-06-26 18:00:00,22.081696
2025-06-24 00:00:00,3 days 00:00:00,2025-06-27 00:00:00,17.032623
2025-06-24 00:00:00,3 days 06:00:00,2025-06-27 06:00:00,17.219025
2025-06-24 00:00:00,3 days 12:00:00,2025-06-27 12:00:00,25.288055
2025-06-24 00:00:00,3 days 18:00:00,2025-06-27 18:00:00,24.435638
2025-06-24 00:00:00,4 days 00:00:00,2025-06-28 00:00:00,18.407501
2025-06-24 00:00:00,4 days 06:00:00,2025-06-28 06:00:00,19.758392
2025-06-24 00:00:00,4 days 12:00:00,2025-06-28 12:00:00,25.881836
2025-06-24 00:00:00,4 days 18:00:00,2025-06-28 18:00:00,26.786469
2025-06-24 00:00:00,5 days 00:00:00,2025-06-29 00:00:00,19.397308
2025-06-24 00:00:00,5 days 06:00:00,2025-06-29 06:00:00,19.642914
2025-06-24 00:00:00,5 days 12:00:00,2025-06-29 12:00:00,28.887634
2025-06-24 00:00:00,5 days 18:00:00,2025-06-29 18:00:00,29.75592
2025-06-24 00:00:00,6 days 00:00:00,2025-06-30 00:00:00,20.491089
2025-06-24 00:00:00,6 days 06:00:00,2025-06-30 06:00:00,21.189178
2025-06-24 00:00:00,6 days 12:00:00,2025-06-30 12:00:00,31.735443
2025-06-24 00:00:00,6 days 18:00:00,2025-06-30 18:00:00,31.063873
2025-06-24 00:00:00,7 days 00:00:00,2025-07-01 00:00:00,21.934784
2025-06-24 00:00:00,7 days 06:00:00,2025-07-01 06:00:00,22.672638
2025-06-24 00:00:00,7 days 12:00:00,2025-07-01 12:00:00,27.771606
2025-06-24 00:00:00,7 days 18:00:00,2025-07-01 18:00:00,25.698944
2025-06-24 00:00:00,8 days 00:00:00,2025-07-02 00:00:00,18.837585
2025-06-24 00:00:00,8 days 06:00:00,2025-07-02 06:00:00,16.74466
2025-06-24 00:00:00,8 days 12:00:00,2025-07-02 12:00:00,22.926605
2025-06-24 00:00:00,8 days 18:00:00,2025-07-02 18:00:00,23.092926
2025-06-24 00:00:00,9 days 00:00:00,2025-07-03 00:00:00,14.90152
2025-06-24 00:00:00,9 days 06:00:00,2025-07-03 06:00:00,14.278717
2025-06-24 00:00:00,9 days 12:00:00,2025-07-03 12:00:00,22.746674
2025-06-24 00:00:00,9 days 18:00:00,2025-07-03 18:00:00,23.327911
2025-06-24 00:00:00,10 days 00:00:00,2025-07-04 00:00:00,14.92691
2025-06-24 00:00:00,10 days 06:00:00,2025-07-04 06:00:00,14.156372
2025-06-24 00:00:00,10 days 12:00:00,2025-07-04 12:00:00,21.874939
2025-06-24 00:00:00,10 days 18:00:00,2025-07-04 18:00:00,19.787994
2025-06-24 00:00:00,11 days 00:00:00,2025-07-05 00:00:00,15.80954
2025-06-24 00:00:00,11 days 06:00:00,2025-07-05 06:00:00,16.183014
2025-06-24 00:00:00,11 days 12:00:00,2025-07-05 12:00:00,19.988556
2025-06-24 00:00:00,11 days 18:00:00,2025-07-05 18:00:00,19.893768
2025-06-24 00:00:00,12 days 00:00:00,2025-07-06 00:00:00,15.685394
2025-06-24 00:00:00,12 days 06:00:00,2025-07-06 06:00:00,14.917755
2025-06-24 00:00:00,12 days 12:00:00,2025-07-06 12:00:00,21.7471
2025-06-24 00:00:00,12 days 18:00:00,2025-07-06 18:00:00,23.19217
2025-06-24 00:00:00,13 days 00:00:00,2025-07-07 00:00:00,14.096954
2025-06-24 00:00:00,13 days 06:00:00,2025-07-07 06:00:00,15.811432
2025-06-24 00:00:00,13 days 12:00:00,2025-07-07 12:00:00,26.417755
2025-06-24 00:00:00,13 days 18:00:00,2025-07-07 18:00:00,26.19455
2025-06-24 00:00:00,14 days 00:00:00,2025-07-08 00:00:00,17.89853
2025-06-24 00:00:00,14 days 06:00:00,2025-07-08 06:00:00,14.348236
2025-06-24 00:00:00,14 days 12:00:00,2025-07-08 12:00:00,21.223022
2025-06-24 00:00:00,14 days 18:00:00,2025-07-08 18:00:00,20.635284
2025-06-24 00:00:00,15 days 00:00:00,2025-07-09 00:00:00,13.854279
2025-06-24 06:00:00,0 days 00:00:00,2025-06-24 06:00:00,14.635071
