time,step,valid_time,temp_c
2025-07-26 00:00:00,0 days 00:00:00,2025-07-26 00:00:00,18.453308
2025-07-26 00:00:00,0 days 06:00:00,2025-07-26 06:00:00,16.733063
2025-07-26 00:00:00,0 days 12:00:00,2025-07-26 12:00:00,22.035858
2025-07-26 00:00:00,0 days 18:00:00,2025-07-26 18:00:00,21.207672
2025-07-26 00:00:00,1 days 00:00:00,2025-07-27 00:00:00,16.418976
2025-07-26 00:00:00,1 days 06:00:00,2025-07-27 06:00:00,15.129669
2025-07-26 00:00:00,1 days 12:00:00,2025-07-27 12:00:00,21.687897
2025-07-26 00:00:00,1 days 18:00:00,2025-07-27 18:00:00,20.437775
2025-07-26 00:00:00,2 days 00:00:00,2025-07-28 00:00:00,15.41507
2025-07-26 00:00:00,2 days 06:00:00,2025-07-28 06:00:00,14.685822
2025-07-26 00:00:00,2 days 12:00:00,2025-07-28 12:00:00,21.920563
2025-07-26 00:00:00,2 days 18:00:00,2025-07-28 18:00:00,22.648956
2025-07-26 00:00:00,3 days 00:00:00,2025-07-29 00:00:00,16.097351
2025-07-26 00:00:00,3 days 06:00:00,2025-07-29 06:00:00,15.076324
2025-07-26 00:00:00,3 days 12:00:00,2025-07-29 12:00:00,20.0018
2025-07-26 00:00:00,3 days 18:00:00,2025-07-29 18:00:00,20.608368
2025-07-26 00:00:00,4 days 00:00:00,2025-07-30 00:00:00,17.008179
2025-07-26 00:00:00,4 days 06:00:00,2025-07-30 06:00:00,16.296417
2025-07-26 00:00:00,4 days 12:00:00,2025-07-30 12:00:00,22.09555
2025-07-26 00:00:00,4 days 18:00:00,2025-07-30 18:00:00,23.523712
2025-07-26 00:00:00,5 days 00:00:00,2025-07-31 00:00:00,16.063446
2025-07-26 00:00:00,5 days 06:00:00,2025-07-31 06:00:00,15.96347
2025-07-26 00:00:00,5 days 12:00:00,2025-07-31 12:00:00,23.09964
2025-07-26 00:00:00,5 days 18:00:00,2025-07-31 18:00:00,20.755615
2025-07-26 00:00:00,6 days 00:00:00,2025-08-01 00:00:00,16.45523
2025-07-26 00:00:00,6 days 06:00:00,2025-08-01 06:00:00,14.587799
2025-07-26 00:00:00,6 days 12:00:00,2025-08-01 12:00:00,20.481201
2025-07-26 00:00:00,6 days 18:00:00,2025-08-01 18:00:00,18.74826
2025-07-26 00:00:00,7 days 00:00:00,2025-08-02 00:00:00,14.646912
2025-07-26 00:00:00,7 days 06:00:00,2025-08-02 06:00:00,13.945526
2025-07-26 00:00:00,7 days 12:00:00,2025-08-02 12:00:00,19.16806
2025-07-26 00:00:00,7 days 18:00:00,2025-08-02 18:00:00,18.647522
2025-07-26 00:00:00,8 days 00:00:00,2025-08-03 00:00:00,14.013092
2025-07-26 00:00:00,8 days 06:00:00,2025-08-03 06:00:00,13.5286255
2025-07-26 00:00:00,8 days 12:00:00,2025-08-03 12:00:00,19.655487
2025-07-26 00:00:00,8 days 18:00:00,2025-08-03 18:00:00,20.397003
2025-07-26 00:00:00,9 days 00:00:00,2025-08-04 00:00:00,14.572601
2025-07-26 00:00:00,9 days 06:00:00,2025-08-04 06:00:00,13.889099
2025-07-26 00:00:00,9 days 12:00:00,2025-08-04 12:00:00,23.581818
2025-07-26 00:00:00,9 days 18:00:00,2025-08-04 18:00:00,24.208649
2025-07-26 00:00:00,10 days 00:00:00,2025-08-05 00:00:00,17.443726
2025-07-26 00:00:00,10 days 06:00:00,2025-08-05 06:00:00,17.67923
2025-07-26 00:00:00,10 days 12:00:00,2025-08-05 12:00:00,25.082397
2025-07-26 00:00:00,10 days 18:00:00,2025-08-05 18:00:00,25.032166
2025-07-26 00:00:00,11 days 00:00:00,2025-08-06 00:00:00,20.080048
2025-07-26 00:00:00,11 days 06:00:00,2025-08-06 06:00:00,19.643341
2025-07-26 00:00:00,11 days 12:00:00,2025-08-06 12:00:00,24.645172
2025-07-26 00:00:00,11 days 18:00:00,2025-08-06 18:00:00,24.250153
2025-07-26 00:00:00,12 days 00:00:00,2025-08-07 00:00:00,15.640717
2025-07-26 00:00:00,12 days 06:00:00,2025-08-07 06:00:00,14.362854
2025-07-26 00:00:00,12 days 12:00:00,2025-08-07 12:00:00,23.337158
2025-07-26 00:00:00,12 days 18:00:00,2025-08-07 18:00:00,22.50998
2025-07-26 00:00:00,13 days 00:00:00,2025-08-08 00:00:00,15.676483
2025-07-26 00:00:00,13 days 06:00:00,2025-08-08 06:00:00,15.381378
2025-07-26 00:00:00,13 days 12:00:00,2025-08-08 12:00:00,25.78305
2025-07-26 00:00:00,13 days 18:00:00,2025-08-08 18:00:00,25.246521
2025-07-26 00:00:00,14 days 00:00:00,2025-08-09 00:00:00,17.705505
2025-07-26 00:00:00,14 days 06:00:00,2025-08-09 06:00:00,15.587799
2025-07-26 00:00:00,14 days 12:00:00,2025-08-09 12:00:00,24.336548
2025-07-26 00:00:00,14 days 18:00:00,2025-08-09 18:00:00,23.37967
2025-07-26 00:00:00,15 days 00:00:00,2025-08-10 00:00:00,16.00354
2025-07-26 06:00:00,0 days 00:00:00,2025-07-26 06:00:00,16.678375
2025-07-26 06:00:00,0 days 06:00:00,2025-07-26 12:00:00,21.766266
2025-07-26 06:00:00,0 days 12:00:00,2025-07-26 18:00:00,21.637726
2025-07-26 06:00:00,0 days 18:00:00,2025-07-27 00:00:00,16.44574
2025-07-26 06:00:00,1 days 00:00:00,2025-07-27 06:00:00,14.947784
2025-07-26 06:00:00,1 days 06:00:00,2025-07-27 12:00:00,21.906952
2025-07-26 06:00:00,1 days 12:00:00,2025-07-27 18:00:00,20.95871
2025-07-26 06:00:00,1 days 18:00:00,2025-07-28 00:00:00,15.793549
2025-07-26 06:00:00,2 days 00:00:00,2025-07-28 06:00:00,14.93869
2025-07-26 06:00:00,2 days 06:00:00,2025-07-28 12:00:00,22.071564
2025-07-26 06:00:00,2 days 12:00:00,2025-07-28 18:00:00,22.8331
2025-07-26 06:00:00,2 days 18:00:00,2025-07-29 00:00:00,16.074371
2025-07-26 06:00:00,3 days 00:00:00,2025-07-29 06:00:00,15.052887
2025-07-26 06:00:00,3 days 06:00:00,2025-07-29 12:00:00,19.84842
2025-07-26 06:00:00,3 days 12:00:00,2025-07-29 18:00:00,20.395294
2025-07-26 06:00:00,3 days 18:00:00,2025-07-30 00:00:00,16.648468
2025-07-26 06:00:00,4 days 00:00:00,2025-07-30 06:00:00,16.093353
2025-07-26 06:00:00,4 days 06:00:00,2025-07-30 12:00:00,21.474396
