time,step,valid_time,temp_c
2025-07-16 00:00:00,0 days 00:00:00,2025-07-16 00:00:00,16.72879
2025-07-16 00:00:00,0 days 06:00:00,2025-07-16 06:00:00,16.087494
2025-07-16 00:00:00,0 days 12:00:00,2025-07-16 12:00:00,22.793457
2025-07-16 00:00:00,0 days 18:00:00,2025-07-16 18:00:00,23.439514
2025-07-16 00:00:00,1 days 00:00:00,2025-07-17 00:00:00,16.270844
2025-07-16 00:00:00,1 days 06:00:00,2025-07-17 06:00:00,17.455994
2025-07-16 00:00:00,1 days 12:00:00,2025-07-17 12:00:00,24.611053
2025-07-16 00:00:00,1 days 18:00:00,2025-07-17 18:00:00,25.069427
2025-07-16 00:00:00,2 days 00:00:00,2025-07-18 00:00:00,19.04477
2025-07-16 00:00:00,2 days 06:00:00,2025-07-18 06:00:00,18.376617
2025-07-16 00:00:00,2 days 12:00:00,2025-07-18 12:00:00,26.93393
2025-07-16 00:00:00,2 days 18:00:00,2025-07-18 18:00:00,26.497894
2025-07-16 00:00:00,3 days 00:00:00,2025-07-19 00:00:00,19.730682
2025-07-16 00:00:00,3 days 06:00:00,2025-07-19 06:00:00,17.521332
2025-07-16 00:00:00,3 days 12:00:00,2025-07-19 12:00:00,21.956879
2025-07-16 00:00:00,3 days 18:00:00,2025-07-19 18:00:00,22.357819
2025-07-16 00:00:00,4 days 00:00:00,2025-07-20 00:00:00,16.692902
2025-07-16 00:00:00,4 days 06:00:00,2025-07-20 06:00:00,17.407562
2025-07-16 00:00:00,4 days 12:00:00,2025-07-20 12:00:00,20.274567
2025-07-16 00:00:00,4 days 18:00:00,2025-07-20 18:00:00,20.243683
2025-07-16 00:00:00,5 days 00:00:00,2025-07-21 00:00:00,14.4149475
2025-07-16 00:00:00,5 days 06:00:00,2025-07-21 06:00:00,15.366455
2025-07-16 00:00:00,5 days 12:00:00,2025-07-21 12:00:00,19.25824
2025-07-16 00:00:00,5 days 18:00:00,2025-07-21 18:00:00,19.48172
