time,step,valid_time,temp_c
2025-06-23 00:00:00,0 days 00:00:00,2025-06-23 00:00:00,17.55597
2025-06-23 00:00:00,0 days 06:00:00,2025-06-23 06:00:00,16.40036
2025-06-23 00:00:00,0 days 12:00:00,2025-06-23 12:00:00,21.161774
2025-06-23 00:00:00,0 days 18:00:00,2025-06-23 18:00:00,21.715332
2025-06-23 00:00:00,1 days 00:00:00,2025-06-24 00:00:00,14.885712
2025-06-23 00:00:00,1 days 06:00:00,2025-06-24 06:00:00,15.948212
2025-06-23 00:00:00,1 days 12:00:00,2025-06-24 12:00:00,22.346588
2025-06-23 00:00:00,1 days 18:00:00,2025-06-24 18:00:00,24.219177
2025-06-23 00:00:00,2 days 00:00:00,2025-06-25 00:00:00,17.928497
2025-06-23 00:00:00,2 days 06:00:00,2025-06-25 06:00:00,17.95633
2025-06-23 00:00:00,2 days 12:00:00,2025-06-25 12:00:00,25.454987
2025-06-23 00:00:00,2 days 18:00:00,2025-06-25 18:00:00,23.92862
2025-06-23 00:00:00,3 days 00:00:00,2025-06-26 00:00:00,18.279785
2025-06-23 00:00:00,3 days 06:00:00,2025-06-26 06:00:00,17.713898
2025-06-23 00:00:00,3 days 12:00:00,2025-06-26 12:00:00,22.353485
2025-06-23 00:00:00,3 days 18:00:00,2025-06-26 18:00:00,21.051971
2025-06-23 00:00:00,4 days 00:00:00,2025-06-27 00:00:00,15.434418
2025-06-23 00:00:00,4 days 06:00:00,2025-06-27 06:00:00,15.944305
2025-06-23 00:00:00,4 days 12:00:00,2025-06-27 12:00:00,23.132599
2025-06-23 00:00:00,4 days 18:00:00,2025-06-27 18:00:00,23.610748
2025-06-23 00:00:00,5 days 00:00:00,2025-06-28 00:00:00,18.689423
2025-06-23 00:00:00,5 days 06:00:00,2025-06-28 06:00:00,19.752045
2025-06-23 00:00:00,5 days 12:00:00,2025-06-28 12:00:00,25.857819
2025-06-23 00:00:00,5 days 18:00:00,2025-06-28 18:00:00,26.841278
2025-06-23 00:00:00,6 days 00:00:00,2025-06-29 00:00:00,19.025574
2025-06-23 00:00:00,6 days 06:00:00,2025-06-29 06:00:00,18.838226
2025-06-23 00:00:00,6 days 12:00:00,2025-06-29 12:00:00,28.928741
2025-06-23 00:00:00,6 days 18:00:00,2025-06-29 18:00:00,29.94458
2025-06-23 00:00:00,7 days 00:00:00,2025-06-30 00:00:00,19.733337
2025-06-23 00:00:00,7 days 06:00:00,2025-06-30 06:00:00,20.371735
2025-06-23 00:00:00,7 days 12:00:00,2025-06-30 12:00:00,31.892975
2025-06-23 00:00:00,7 days 18:00:00,2025-06-30 18:00:00,31.514435
2025-06-23 00:00:00,8 days 00:00:00,2025-07-01 00:00:00,22.13205
2025-06-23 00:00:00,8 days 06:00:00,2025-07-01 06:00:00,22.414581
2025-06-23 00:00:00,8 days 12:00:00,2025-07-01 12:00:00,27.021423
2025-06-23 00:00:00,8 days 18:00:00,2025-07-01 18:00:00,23.861908
2025-06-23 00:00:00,9 days 00:00:00,2025-07-02 00:00:00,18.104889
2025-06-23 00:00:00,9 days 06:00:00,2025-07-02 06:00:00,16.748535
2025-06-23 00:00:00,9 days 12:00:00,2025-07-02 12:00:00,22.84671
2025-06-23 00:00:00,9 days 18:00:00,2025-07-02 18:00:00,22.435333
2025-06-23 00:00:00,10 days 00:00:00,2025-07-03 00:00:00,14.167633
2025-06-23 00:00:00,10 days 06:00:00,2025-07-03 06:00:00,13.332977
2025-06-23 00:00:00,10 days 12:00:00,2025-07-03 12:00:00,21.582733
2025-06-23 00:00:00,10 days 18:00:00,2025-07-03 18:00:00,19.418243
2025-06-23 00:00:00,11 days 00:00:00,2025-07-04 00:00:00,14.603882
2025-06-23 00:00:00,11 days 06:00:00,2025-07-04 06:00:00,15.541351
2025-06-23 00:00:00,11 days 12:00:00,2025-07-04 12:00:00,20.056427
2025-06-23 00:00:00,11 days 18:00:00,2025-07-04 18:00:00,21.995758
2025-06-23 00:00:00,12 days 00:00:00,2025-07-05 00:00:00,14.602203
2025-06-23 00:00:00,12 days 06:00:00,2025-07-05 06:00:00,14.116241
2025-06-23 00:00:00,12 days 12:00:00,2025-07-05 12:00:00,17.744995
2025-06-23 00:00:00,12 days 18:00:00,2025-07-05 18:00:00,17.071747
2025-06-23 00:00:00,13 days 00:00:00,2025-07-06 00:00:00,16.64206
2025-06-23 00:00:00,13 days 06:00:00,2025-07-06 06:00:00,16.1297
2025-06-23 00:00:00,13 days 12:00:00,2025-07-06 12:00:00,19.989471
2025-06-23 00:00:00,13 days 18:00:00,2025-07-06 18:00:00,19.559845
2025-06-23 00:00:00,14 days 00:00:00,2025-07-07 00:00:00,13.899353
2025-06-23 00:00:00,14 days 06:00:00,2025-07-07 06:00:00,13.642181
2025-06-23 00:00:00,14 days 12:00:00,2025-07-07 12:00:00,18.339966
2025-06-23 00:00:00,14 days 18:00:00,2025-07-07 18:00:00,18.003265
2025-06-23 00:00:00,15 days 00:00:00,2025-07-08 00:00:00,12.542908
2025-06-23 06:00:00,0 days 00:00:00,2025-06-23 06:00:00,16.58432
2025-06-23 06:00:00,0 days 06:00:00,2025-06-23 12:00:00,20.813751
2025-06-23 06:00:00,0 days 12:00:00,2025-06-23 18:00:00,21.4664
2025-06-23 06:00:00,0 days 18:00:00,2025-06-24 00:00:00,14.66684
2025-06-23 06:00:00,1 days 00:00:00,2025-06-24 06:00:00,15.726654
2025-06-23 06:00:00,1 days 06:00:00,2025-06-24 12:00:00,22.730896
2025-06-23 06:00:00,1 days 12:00:00,2025-06-24 18:00:00,24.716827
2025-06-23 06:00:00,1 days 18:00:00,2025-06-25 00:00:00,18.012268
2025-06-23 06:00:00,2 days 00:00:00,2025-06-25 06:00:00,18.05368
2025-06-23 06:00:00,2 days 06:00:00,2025-06-25 12:00:00,25.440155
2025-06-23 06:00:00,2 days 12:00:00,2025-06-25 18:00:00,24.089813
2025-06-23 06:00:00,2 days 18:00:00,2025-06-26 00:00:00,18.389923
2025-06-23 06:00:00,3 days 00:00:00,2025-06-26 06:00:00,17.828735
2025-06-23 06:00:00,3 days 06:00:00,2025-06-26 12:00:00,22.752075
2025-06-23 06:00:00,3 days 12:00:00,2025-06-26 18:00:00,22.16925
2025-06-23 06:00:00,3 days 18:00:00,2025-06-27 00:00:00,16.28415
2025-06-23 06:00:00,4 days 00:00:00,2025-06-27 06:00:00,16.917145
2025-06-23 06:00:00,4 days 06:00:00,2025-06-27 12:00:00,24.031342
2025-06-23 06:00:00,4 days 12:00:00,2025-06-27 18:00:00,23.664764
2025-06-23 06:00:00,4 days 18:00:00,2025-06-28 00:00:00,19.25821
2025-06-23 06:00:00,5 days 00:00:00,2025-06-28 06:00:00,19.998505
2025-06-23 06:00:00,5 days 06:00:00,2025-06-28 12:00:00,26.204834
2025-06-23 06:00:00,5 days 12:00:00,2025-06-28 18:00:00,26.964142
2025-06-23 06:00:00,5 days 18:00:00,2025-06-29 00:00:00,18.939728
2025-06-23 06:00:00,6 days 00:00:00,2025-06-29 06:00:00,18.721497
2025-06-23 06:00:00,6 days 06:00:00,2025-06-29 12:00:00,28.304108
2025-06-23 06:00:00,6 days 12:00:00,2025-06-29 18:00:00,29.637024
2025-06-23 06:00:00,6 days 18:00:00,2025-06-30 00:00:00,19.736298
2025-06-23 06:00:00,7 days 00:00:00,2025-06-30 06:00:00,20.285889
2025-06-23 06:00:00,7 days 06:00:00,2025-06-30 12:00:00,31.417542
2025-06-23 06:00:00,7 days 12:00:00,2025-06-30 18:00:00,31.017242
2025-06-23 06:00:00,7 days 18:00:00,2025-07-01 00:00:00,20.32248
2025-06-23 06:00:00,8 days 00:00:00,2025-07-01 06:00:00,21.974152
2025-06-23 06:00:00,8 days 06:00:00,2025-07-01 12:00:00,32.66208
2025-06-23 06:00:00,8 days 12:00:00,2025-07-01 18:00:00,30.04776
2025-06-23 06:00:00,8 days 18:00:00,2025-07-02 00:00:00,21.439362
2025-06-23 06:00:00,9 days 00:00:00,2025-07-02 06:00:00,19.321625
2025-06-23 06:00:00,9 days 06:00:00,2025-07-02 12:00:00,22.589294
2025-06-23 06:00:00,9 days 12:00:00,2025-07-02 18:00:00,21.104584
2025-06-23 06:00:00,9 days 18:00:00,2025-07-03 00:00:00,15.4383545
2025-06-23 06:00:00,10 days 00:00:00,2025-07-03 06:00:00,14.584656
2025-06-23 06:00:00,10 days 06:00:00,2025-07-03 12:00:00,22.231201
2025-06-23 06:00:00,10 days 12:00:00,2025-07-03 18:00:00,22.359344
2025-06-23 06:00:00,10 days 18:00:00,2025-07-04 00:00:00,14.579773
2025-06-23 06:00:00,11 days 00:00:00,2025-07-04 06:00:00,14.359711
2025-06-23 06:00:00,11 days 06:00:00,2025-07-04 12:00:00,23.285553
2025-06-23 06:00:00,11 days 12:00:00,2025-07-04 18:00:00,22.384552
2025-06-23 06:00:00,11 days 18:00:00,2025-07-05 00:00:00,14.168213
2025-06-23 06:00:00,12 days 00:00:00,2025-07-05 06:00:00,14.711395
2025-06-23 06:00:00,12 days 06:00:00,2025-07-05 12:00:00,22.034058
2025-06-23 06:00:00,12 days 12:00:00,2025-07-05 18:00:00,17.213837
2025-06-23 06:00:00,12 days 18:00:00,2025-07-06 00:00:00,15.195953
2025-06-23 06:00:00,13 days 00:00:00,2025-07-06 06:00:00,15.583832
2025-06-23 06:00:00,13 days 06:00:00,2025-07-06 12:00:00,19.255096
2025-06-23 06:00:00,13 days 12:00:00,2025-07-06 18:00:00,19.085663
2025-06-23 06:00:00,13 days 18:00:00,2025-07-07 00:00:00,15.995575
2025-06-23 06:00:00,14 days 00:00:00,2025-07-07 06:00:00,16.103607
2025-06-23 06:00:00,14 days 06:00:00,2025-07-07 12:00:00,20.034271
2025-06-23 06:00:00,14 days 12:00:00,2025-07-07 18:00:00,18.588348
2025-06-23 06:00:00,14 days 18:00:00,2025-07-08 00:00:00,15.7708435
