time,latitude,longitude,valid_time,t2m,t2m_c
2025-06-19 00:00:00,51.5,0.0,2025-06-19 00:00:00,292.47528,19.325287
2025-06-19 06:00:00,51.5,0.0,2025-06-19 06:00:00,292.0689,18.918915
2025-06-19 12:00:00,51.5,0.0,2025-06-19 12:00:00,302.3094,29.159393
2025-06-19 18:00:00,51.5,0.0,2025-06-19 18:00:00,301.90497,28.754974
2025-06-20 00:00:00,51.5,0.0,2025-06-20 00:00:00,291.15564,18.005646
2025-06-20 06:00:00,51.5,0.0,2025-06-20 06:00:00,292.08563,18.935638
2025-06-20 12:00:00,51.5,0.0,2025-06-20 12:00:00,300.65588,27.50589
2025-06-20 18:00:00,51.5,0.0,2025-06-20 18:00:00,298.77286,25.622864
2025-06-21 00:00:00,51.5,0.0,2025-06-21 00:00:00,290.81787,17.667877
2025-06-21 06:00:00,51.5,0.0,2025-06-21 06:00:00,292.6201,19.470093
2025-06-21 12:00:00,51.5,0.0,2025-06-21 12:00:00,303.30682,30.15683
2025-06-21 18:00:00,51.5,0.0,2025-06-21 18:00:00,302.6812,29.53122
2025-06-22 00:00:00,51.5,0.0,2025-06-22 00:00:00,298.19568,25.045685
2025-06-22 06:00:00,51.5,0.0,2025-06-22 06:00:00,290.8908,17.740814
2025-06-22 12:00:00,51.5,0.0,2025-06-22 12:00:00,299.02667,25.876678
2025-06-22 18:00:00,51.5,0.0,2025-06-22 18:00:00,294.95624,21.806244
2025-06-23 00:00:00,51.5,0.0,2025-06-23 00:00:00,290.70596,17.55597
2025-06-23 06:00:00,51.5,0.0,2025-06-23 06:00:00,289.7343,16.58432
2025-06-23 12:00:00,51.5,0.0,2025-06-23 12:00:00,293.82776,20.677765
2025-06-23 18:00:00,51.5,0.0,2025-06-23 18:00:00,294.65405,21.504059
2025-06-24 00:00:00,51.5,0.0,2025-06-24 00:00:00,287.8779,14.727905
2025-06-24 06:00:00,51.5,0.0,2025-06-24 06:00:00,287.78506,14.635071
2025-06-24 12:00:00,51.5,0.0,2025-06-24 12:00:00,296.9426,23.792603
2025-06-24 18:00:00,51.5,0.0,2025-06-24 18:00:00,297.2685,24.1185
2025-06-25 00:00:00,51.5,0.0,2025-06-25 00:00:00,291.0671,17.917114
2025-06-25 06:00:00,51.5,0.0,2025-06-25 06:00:00,289.8331,16.683105
2025-06-25 12:00:00,51.5,0.0,2025-06-25 12:00:00,297.11963,23.969635
2025-06-25 18:00:00,51.5,0.0,2025-06-25 18:00:00,299.4218,26.27182
2025-06-26 00:00:00,51.5,0.0,2025-06-26 00:00:00,293.0193,19.869293
2025-06-26 06:00:00,51.5,0.0,2025-06-26 06:00:00,291.4018,18.2518
2025-06-26 12:00:00,51.5,0.0,2025-06-26 12:00:00,295.65244,22.502441
2025-06-26 18:00:00,51.5,0.0,2025-06-26 18:00:00,294.99548,21.84549
2025-06-27 00:00:00,51.5,0.0,2025-06-27 00:00:00,288.7688,15.618805
2025-06-27 06:00:00,51.5,0.0,2025-06-27 06:00:00,287.7074,14.557404
2025-06-27 12:00:00,51.5,0.0,2025-06-27 12:00:00,297.52057,24.370575
2025-06-27 18:00:00,51.5,0.0,2025-06-27 18:00:00,296.56927,23.419281
2025-06-28 00:00:00,51.5,0.0,2025-06-28 00:00:00,292.19666,19.046661
2025-06-28 06:00:00,51.5,0.0,2025-06-28 06:00:00,292.70944,19.559448
2025-06-28 12:00:00,51.5,0.0,2025-06-28 12:00:00,298.883,25.733002
2025-06-28 18:00:00,51.5,0.0,2025-06-28 18:00:00,302.47687,29.326874
2025-06-29 00:00:00,51.5,0.0,2025-06-29 00:00:00,293.95694,20.806946
2025-06-29 06:00:00,51.5,0.0,2025-06-29 06:00:00,291.81696,18.666962
2025-06-29 12:00:00,51.5,0.0,2025-06-29 12:00:00,299.82217,26.67218
2025-06-29 18:00:00,51.5,0.0,2025-06-29 18:00:00,302.40393,29.253937
2025-06-30 00:00:00,51.5,0.0,2025-06-30 00:00:00,292.9445,19.794495
2025-06-30 06:00:00,51.5,0.0,2025-06-30 06:00:00,292.7254,19.575409
2025-06-30 12:00:00,51.5,0.0,2025-06-30 12:00:00,304.26526,31.115265
2025-06-30 18:00:00,51.5,0.0,2025-06-30 18:00:00,304.67932,31.529327
2025-07-01 00:00:00,51.5,0.0,2025-07-01 00:00:00,296.48517,23.335175
2025-07-01 06:00:00,51.5,0.0,2025-07-01 06:00:00,297.00916,23.859161
2025-07-01 12:00:00,51.5,0.0,2025-07-01 12:00:00,305.0799,31.929901
2025-07-01 18:00:00,51.5,0.0,2025-07-01 18:00:00,304.45807,31.308075
2025-07-02 00:00:00,51.5,0.0,2025-07-02 00:00:00,294.56506,21.41507
2025-07-02 06:00:00,51.5,0.0,2025-07-02 06:00:00,290.9642,17.814209
2025-07-02 12:00:00,51.5,0.0,2025-07-02 12:00:00,291.54114,18.391144
2025-07-02 18:00:00,51.5,0.0,2025-07-02 18:00:00,296.3722,23.222198
2025-07-03 00:00:00,51.5,0.0,2025-07-03 00:00:00,286.98132,13.831329
2025-07-03 06:00:00,51.5,0.0,2025-07-03 06:00:00,287.2743,14.124298
2025-07-03 12:00:00,51.5,0.0,2025-07-03 12:00:00,295.39474,22.244751
2025-07-03 18:00:00,51.5,0.0,2025-07-03 18:00:00,296.50946,23.359467
2025-07-04 00:00:00,51.5,0.0,2025-07-04 00:00:00,289.95663,16.80664
2025-07-04 06:00:00,51.5,0.0,2025-07-04 06:00:00,288.76862,15.618622
2025-07-04 12:00:00,51.5,0.0,2025-07-04 12:00:00,297.5215,24.371521
2025-07-04 18:00:00,51.5,0.0,2025-07-04 18:00:00,298.95447,25.804474
2025-07-05 00:00:00,51.5,0.0,2025-07-05 00:00:00,292.136,18.985992
2025-07-05 06:00:00,51.5,0.0,2025-07-05 06:00:00,290.17303,17.02304
2025-07-05 12:00:00,51.5,0.0,2025-07-05 12:00:00,293.12292,19.97293
2025-07-05 18:00:00,51.5,0.0,2025-07-05 18:00:00,294.40125,21.251251
2025-07-06 00:00:00,51.5,0.0,2025-07-06 00:00:00,291.141,17.990997
2025-07-06 06:00:00,51.5,0.0,2025-07-06 06:00:00,290.36768,17.217682
2025-07-06 12:00:00,51.5,0.0,2025-07-06 12:00:00,292.20453,19.054535
2025-07-06 18:00:00,51.5,0.0,2025-07-06 18:00:00,292.74164,19.591644
2025-07-07 00:00:00,51.5,0.0,2025-07-07 00:00:00,289.60547,16.455475
2025-07-07 06:00:00,51.5,0.0,2025-07-07 06:00:00,286.62982,13.479828
2025-07-07 12:00:00,51.5,0.0,2025-07-07 12:00:00,291.88385,18.733856
2025-07-07 18:00:00,51.5,0.0,2025-07-07 18:00:00,293.2386,20.088593
2025-07-08 00:00:00,51.5,0.0,2025-07-08 00:00:00,287.76123,14.611237
2025-07-08 06:00:00,51.5,0.0,2025-07-08 06:00:00,286.398,13.248016
2025-07-08 12:00:00,51.5,0.0,2025-07-08 12:00:00,294.07816,20.928162
2025-07-08 18:00:00,51.5,0.0,2025-07-08 18:00:00,295.44067,22.29068
2025-07-09 00:00:00,51.5,0.0,2025-07-09 00:00:00,287.4134,14.263397
2025-07-09 06:00:00,51.5,0.0,2025-07-09 06:00:00,287.6706,14.520599
2025-07-09 12:00:00,51.5,0.0,2025-07-09 12:00:00,296.0548,22.904816
2025-07-09 18:00:00,51.5,0.0,2025-07-09 18:00:00,298.92975,25.779755
2025-07-10 00:00:00,51.5,0.0,2025-07-10 00:00:00,291.68683,18.536835
2025-07-10 06:00:00,51.5,0.0,2025-07-10 06:00:00,291.50848,18.35849
2025-07-10 12:00:00,51.5,0.0,2025-07-10 12:00:00,300.84088,27.690887
2025-07-10 18:00:00,51.5,0.0,2025-07-10 18:00:00,301.8452,28.69522
2025-07-11 00:00:00,51.5,0.0,2025-07-11 00:00:00,292.47754,19.327545
2025-07-11 06:00:00,51.5,0.0,2025-07-11 06:00:00,292.39862,19.248627
2025-07-11 12:00:00,51.5,0.0,2025-07-11 12:00:00,302.36993,29.21994
2025-07-11 18:00:00,51.5,0.0,2025-07-11 18:00:00,303.84454,30.69455
2025-07-12 00:00:00,51.5,0.0,2025-07-12 00:00:00,293.5431,20.393097
2025-07-12 06:00:00,51.5,0.0,2025-07-12 06:00:00,292.32922,19.17923
2025-07-12 12:00:00,51.5,0.0,2025-07-12 12:00:00,300.75552,27.60553
2025-07-12 18:00:00,51.5,0.0,2025-07-12 18:00:00,297.6738,24.523804
2025-07-13 00:00:00,51.5,0.0,2025-07-13 00:00:00,289.7374,16.587402
2025-07-13 06:00:00,51.5,0.0,2025-07-13 06:00:00,288.96594,15.8159485
2025-07-13 12:00:00,51.5,0.0,2025-07-13 12:00:00,297.00864,23.858643
2025-07-13 18:00:00,51.5,0.0,2025-07-13 18:00:00,300.21588,27.065887
2025-07-14 00:00:00,51.5,0.0,2025-07-14 00:00:00,292.6021,19.452118
2025-07-14 06:00:00,51.5,0.0,2025-07-14 06:00:00,292.0365,18.886505
